Queue Size,Token Possession,Buffer Size,Threshold,Delta Buffer,Delta Threshold
0,1,900,40,2000,-10
0,1,900,50,2000,0
0,1,900,60,2000,0
100,1,900,10,2000,10
100,1,900,20,2000,10
100,1,900,30,2000,-10
100,1,900,40,2000,10
100,1,900,50,2000,-10
100,1,900,60,2000,0
200,1,900,10,2300,-10
200,1,900,20,2300,0
200,1,900,30,2300,-10
200,1,900,40,2300,-10
200,1,900,50,2300,-10
200,1,900,60,2300,-10
300,1,900,10,2300,10
300,1,900,20,2300,0
300,1,900,30,2300,10
300,1,900,40,2300,10
300,1,900,50,2300,10
300,1,900,60,2300,0
400,1,900,10,2300,-10
400,1,900,20,2600,0
400,1,900,30,2600,10
400,1,900,40,2300,-10
400,1,900,50,2600,10
400,1,900,60,2300,0
500,1,900,10,2600,-10
500,1,900,20,2600,0
500,1,900,30,2600,-10
500,1,900,40,2600,10
500,1,900,50,2600,10
500,1,900,60,2600,-10
600,1,900,10,2600,-10
600,1,900,20,2600,10
600,1,900,30,2600,10
600,1,900,40,2600,-10
600,1,900,50,2600,-10
600,1,900,60,2600,10
700,1,900,10,2900,-10
700,1,900,20,2900,10
700,1,900,30,2900,-10
700,1,900,40,2600,-10
700,1,900,50,2600,10
700,1,900,60,2600,0
800,1,900,10,2900,-10
800,1,900,20,2900,-10
800,1,900,30,2900,-10
800,1,900,40,2900,10
800,1,900,50,2900,0
800,1,900,60,2900,-10
900,1,900,10,2900,10
900,1,900,20,2900,-10
900,1,900,30,2900,10
900,1,900,40,2900,10
900,1,900,50,2900,0
900,1,900,60,2900,0
0,0,1200,10,1700,-10
0,0,1200,20,1700,-10
0,0,1200,30,1700,10
0,0,1200,40,1700,10
0,0,1200,50,1700,10
0,0,1200,60,1700,10
100,0,1200,10,1700,-10
100,0,1200,20,2000,-10
100,0,1200,30,1700,10
100,0,1200,40,1700,0
100,0,1200,50,1700,-10
100,0,1200,60,1700,-10
200,0,1200,10,2000,0
200,0,1200,20,2000,10
200,0,1200,30,2000,10
200,0,1200,40,2000,0
200,0,1200,50,2000,0
200,0,1200,60,2000,-10
300,0,1200,10,2000,0
300,0,1200,20,2000,0
300,0,1200,30,2000,0
300,0,1200,40,2000,-10
300,0,1200,50,2000,10
300,0,1200,60,2000,0
400,0,1200,10,2300,10
400,0,1200,20,2000,0
400,0,1200,30,2000,-10
400,0,1200,40,2000,0
400,0,1200,50,2000,0
400,0,1200,60,2000,0
500,0,1200,10,2300,-10
500,0,1200,20,2300,0
500,0,1200,30,2300,-10
500,0,1200,40,2300,-10
500,0,1200,50,2300,0
500,0,1200,60,2300,-10
600,0,1200,10,2300,0
600,0,1200,20,2300,-10
600,0,1200,30,2300,10
600,0,1200,40,2300,-10
600,0,1200,50,2300,-10
600,0,1200,60,2300,-10
700,0,1200,10,2600,0
700,0,1200,20,2600,0
700,0,1200,30,2600,-10
700,0,1200,40,2300,-10
700,0,1200,50,2300,-10
700,0,1200,60,2600,-10
800,0,1200,10,2600,0
800,0,1200,20,2600,-10
800,0,1200,30,2600,-10
800,0,1200,40,2600,10
800,0,1200,50,2600,10
800,0,1200,60,2600,-10
900,0,1200,10,2600,-10
900,0,1200,20,2600,-10
900,0,1200,30,2600,0
900,0,1200,40,2600,10
900,0,1200,50,2600,0
900,0,1200,60,2600,0
1000,0,1200,10,2900,10
1000,0,1200,20,2600,10
1000,0,1200,30,2600,10
1000,0,1200,40,2600,0
1000,0,1200,50,2900,10
1000,0,1200,60,2600,-10
1100,0,1200,10,2900,0
1100,0,1200,20,2900,-10
1100,0,1200,30,2900,-10
1100,0,1200,40,2900,10
1100,0,1200,50,2900,-10
1100,0,1200,60,2900,0
1200,0,1200,10,2900,-10
1200,0,1200,20,2900,0
1200,0,1200,30,2900,10
1200,0,1200,40,2900,-10
1200,0,1200,50,2900,0
1200,0,1200,60,2900,10
0,1,1200,10,1700,-10
0,1,1200,20,1700,10
0,1,1200,30,1700,-10
0,1,1200,40,1700,10
0,1,1200,50,1700,0
0,1,1200,60,1700,-10
100,1,1200,10,1700,-10
100,1,1200,20,2000,10
100,1,1200,30,2000,0
100,1,1200,40,2000,10
100,1,1200,50,1700,10
100,1,1200,60,1700,0
200,1,1200,10,2000,0
200,1,1200,20,2000,10
200,1,1200,30,2000,0
200,1,1200,40,2000,0
200,1,1200,50,2000,10
200,1,1200,60,2000,-10
300,1,1200,10,2000,-10
300,1,1200,20,2000,-10
300,1,1200,30,2000,0
300,1,1200,40,2000,10
300,1,1200,50,2000,0
300,1,1200,60,2000,10
400,1,1200,10,2300,10
400,1,1200,20,2000,-10
400,1,1200,30,2300,0
400,1,1200,40,2300,0
400,1,1200,50,2300,10
400,1,1200,60,2000,-10
500,1,1200,10,2300,10
500,1,1200,20,2300,10
500,1,1200,30,2300,-10
500,1,1200,40,2300,0
500,1,1200,50,2300,0
500,1,1200,60,2300,-10
600,1,1200,10,2300,10
600,1,1200,20,2300,0
600,1,1200,30,2300,-10
600,1,1200,40,2300,-10
600,1,1200,50,2300,10
600,1,1200,60,2300,0
700,1,1200,10,2600,-10
700,1,1200,20,2600,-10
700,1,1200,30,2300,10
700,1,1200,40,2600,10
700,1,1200,50,2600,10
700,1,1200,60,2300,-10
800,1,1200,10,2600,-10
800,1,1200,20,2600,10
800,1,1200,30,2600,10
800,1,1200,40,2600,-10
800,1,1200,50,2600,0
800,1,1200,60,2600,-10
900,1,1200,10,2600,10
900,1,1200,20,2600,-10
900,1,1200,30,2600,0
900,1,1200,40,2600,10
900,1,1200,50,2600,10
900,1,1200,60,2600,10
1000,1,1200,10,2600,-10
1000,1,1200,20,2900,-10
1000,1,1200,30,2600,0
1000,1,1200,40,2900,0
1000,1,1200,50,2900,-10
1000,1,1200,60,2600,-10
1100,1,1200,10,2900,10
1100,1,1200,20,2900,-10
1100,1,1200,30,2900,0
1100,1,1200,40,2900,10
1100,1,1200,50,2900,10
1100,1,1200,60,2900,10
1200,1,1200,10,2900,10
1200,1,1200,20,2900,0
1200,1,1200,30,2900,-10
1200,1,1200,40,2900,0
1200,1,1200,50,2900,-10
1200,1,1200,60,2900,-10
0,0,1500,10,1400,10
0,0,1500,20,1400,0
0,0,1500,30,1400,10
0,0,1500,40,1400,0
0,0,1500,50,1400,0
0,0,1500,60,1400,-10
100,0,1500,10,1400,10
100,0,1500,20,1700,10
100,0,1500,30,1400,-10
100,0,1500,40,1700,0
100,0,1500,50,1400,-10
100,0,1500,60,1700,10
200,0,1500,10,1700,10
200,0,1500,20,1700,0
200,0,1500,30,1700,0
200,0,1500,40,1700,-10
200,0,1500,50,1700,0
200,0,1500,60,1700,-10
300,0,1500,10,1700,10
300,0,1500,20,1700,-10
300,0,1500,30,1700,10
300,0,1500,40,1700,0
300,0,1500,50,1700,-10
300,0,1500,60,1700,0
400,0,1500,10,1700,0
400,0,1500,20,1700,0
400,0,1500,30,1700,0
400,0,1500,40,1700,0
400,0,1500,50,2000,-10
400,0,1500,60,2000,10
500,0,1500,10,2000,-10
500,0,1500,20,2000,10
500,0,1500,30,2000,-10
500,0,1500,40,2000,0
500,0,1500,50,2000,-10
500,0,1500,60,2000,-10
600,0,1500,10,2000,-10
600,0,1500,20,2000,-10
600,0,1500,30,2000,-10
600,0,1500,40,2000,0
600,0,1500,50,2000,10
600,0,1500,60,2000,10
700,0,1500,10,2000,-10
700,0,1500,20,2000,-10
700,0,1500,30,2300,10
700,0,1500,40,2000,0
700,0,1500,50,2000,0
700,0,1500,60,2300,-10
800,0,1500,10,2300,-10
800,0,1500,20,2300,10
800,0,1500,30,2300,10
800,0,1500,40,2300,0
800,0,1500,50,2300,-10
800,0,1500,60,2300,-10
900,0,1500,10,2300,-10
900,0,1500,20,2300,-10
900,0,1500,30,2300,0
900,0,1500,40,2300,0
900,0,1500,50,2300,0
900,0,1500,60,2300,10
1000,0,1500,10,2600,-10
1000,0,1500,20,2600,0
1000,0,1500,30,2600,0
1000,0,1500,40,2300,10
1000,0,1500,50,2600,0
1000,0,1500,60,2600,-10
1100,0,1500,10,2600,10
1100,0,1500,20,2600,0
1100,0,1500,30,2600,10
1100,0,1500,40,2600,0
1100,0,1500,50,2600,10
1100,0,1500,60,2600,0
1200,0,1500,10,2600,0
1200,0,1500,20,2600,-10
1200,0,1500,30,2600,0
1200,0,1500,40,2600,-10
1200,0,1500,50,2600,10
1200,0,1500,60,2600,0
1300,0,1500,10,2900,0
1300,0,1500,20,2900,-10
1300,0,1500,30,2600,10
1300,0,1500,40,2600,10
1300,0,1500,50,2600,10
1300,0,1500,60,2600,-10
1400,0,1500,10,2900,0
1400,0,1500,20,2900,10
1400,0,1500,30,2900,10
1400,0,1500,40,2900,-10
1400,0,1500,50,2900,-10
1400,0,1500,60,2900,-10
1500,0,1500,10,2900,10
1500,0,1500,20,2900,-10
1500,0,1500,30,2900,0
1500,0,1500,40,2900,10
1500,0,1500,50,2900,0
1500,0,1500,60,2900,0
0,1,1500,10,1400,-10
0,1,1500,20,1400,10
0,1,1500,30,1400,10
0,1,1500,40,1400,-10
0,1,1500,50,1400,0
0,1,1500,60,1400,-10
100,1,1500,10,1400,10
100,1,1500,20,1400,-10
100,1,1500,30,1700,10
100,1,1500,40,1700,0
100,1,1500,50,1700,10
100,1,1500,60,1700,0
200,1,1500,10,1700,-10
200,1,1500,20,1700,-10
200,1,1500,30,1700,10
200,1,1500,40,1700,-10
200,1,1500,50,1700,-10
200,1,1500,60,1700,0
300,1,1500,10,1700,0
300,1,1500,20,1700,-10
300,1,1500,30,1700,-10
300,1,1500,40,1700,10
300,1,1500,50,1700,-10
300,1,1500,60,1700,0
400,1,1500,10,1700,0
400,1,1500,20,1700,0
400,1,1500,30,2000,-10
400,1,1500,40,1700,10
400,1,1500,50,1700,10
400,1,1500,60,2000,0
500,1,1500,10,2000,10
500,1,1500,20,2000,-10
500,1,1500,30,2000,10
500,1,1500,40,2000,0
500,1,1500,50,2000,-10
500,1,1500,60,2000,10
600,1,1500,10,2000,0
600,1,1500,20,2000,-10
600,1,1500,30,2000,-10
600,1,1500,40,2000,0
600,1,1500,50,2000,0
600,1,1500,60,2000,10
700,1,1500,10,2300,10
700,1,1500,20,2300,-10
700,1,1500,30,2000,10
700,1,1500,40,2300,-10
700,1,1500,50,2000,-10
700,1,1500,60,2000,-10
800,1,1500,10,2300,-10
800,1,1500,20,2300,10
800,1,1500,30,2300,10
800,1,1500,40,2300,0
800,1,1500,50,2300,10
800,1,1500,60,2300,10
900,1,1500,10,2300,10
900,1,1500,20,2300,0
900,1,1500,30,2300,-10
900,1,1500,40,2300,10
900,1,1500,50,2300,0
900,1,1500,60,2300,-10
1000,1,1500,10,2600,-10
1000,1,1500,20,2600,0
1000,1,1500,30,2600,-10
1000,1,1500,40,2300,10
1000,1,1500,50,2600,-10
1000,1,1500,60,2600,-10
1100,1,1500,10,2600,0
1100,1,1500,20,2600,0
1100,1,1500,30,2600,0
1100,1,1500,40,2600,0
1100,1,1500,50,2600,0
1100,1,1500,60,2600,0
1200,1,1500,10,2600,-10
1200,1,1500,20,2600,10
1200,1,1500,30,2600,-10
1200,1,1500,40,2600,-10
1200,1,1500,50,2600,10
1200,1,1500,60,2600,-10
1300,1,1500,10,2900,0
1300,1,1500,20,2600,0
1300,1,1500,30,2600,10
1300,1,1500,40,2600,-10
1300,1,1500,50,2900,-10
1300,1,1500,60,2900,0
1400,1,1500,10,2900,10
1400,1,1500,20,2900,-10
1400,1,1500,30,2900,-10
1400,1,1500,40,2900,-10
1400,1,1500,50,2900,10
1400,1,1500,60,2900,10
1500,1,1500,10,2900,0
1500,1,1500,20,2900,-10
1500,1,1500,30,2900,0
1500,1,1500,40,2900,-10
1500,1,1500,50,2900,0
1500,1,1500,60,2900,10
0,0,1800,10,1100,10
0,0,1800,20,1100,10
0,0,1800,30,1100,-10
0,0,1800,40,1100,0
0,0,1800,50,1100,10
0,0,1800,60,1100,0
100,0,1800,10,1100,10
100,0,1800,20,1100,10
100,0,1800,30,1400,0
100,0,1800,40,1100,10
100,0,1800,50,1400,-10
100,0,1800,60,1400,-10
200,0,1800,10,1400,-10
200,0,1800,20,1400,-10
200,0,1800,30,1400,-10
200,0,1800,40,1400,10
200,0,1800,50,1400,10
200,0,1800,60,1400,-10
300,0,1800,10,1400,-10
300,0,1800,20,1400,0
300,0,1800,30,1400,0
300,0,1800,40,1400,0
300,0,1800,50,1400,-10
300,0,1800,60,1400,10
400,0,1800,10,1400,10
400,0,1800,20,1400,10
400,0,1800,30,1700,10
400,0,1800,40,1400,10
400,0,1800,50,1400,10
400,0,1800,60,1400,-10
500,0,1800,10,1700,10
500,0,1800,20,1700,-10
500,0,1800,30,1700,-10
500,0,1800,40,1700,0
500,0,1800,50,1700,-10
500,0,1800,60,1700,-10
600,0,1800,10,1700,10
600,0,1800,20,1700,10
600,0,1800,30,1700,-10
600,0,1800,40,1700,0
600,0,1800,50,1700,-10
600,0,1800,60,1700,-10
700,0,1800,10,1700,0
700,0,1800,20,2000,10
700,0,1800,30,2000,0
700,0,1800,40,1700,0
700,0,1800,50,1700,0
700,0,1800,60,2000,-10
800,0,1800,10,2000,-10
800,0,1800,20,2000,-10
800,0,1800,30,2000,10
800,0,1800,40,2000,10
800,0,1800,50,2000,0
800,0,1800,60,2000,10
900,0,1800,10,2000,0
900,0,1800,20,2000,10
900,0,1800,30,2000,0
900,0,1800,40,2000,-10
900,0,1800,50,2000,10
900,0,1800,60,2000,-10
1000,0,1800,10,2300,10
1000,0,1800,20,2300,0
1000,0,1800,30,2000,0
1000,0,1800,40,2300,0
1000,0,1800,50,2300,-10
1000,0,1800,60,2000,-10
1100,0,1800,10,2300,-10
1100,0,1800,20,2300,-10
1100,0,1800,30,2300,10
1100,0,1800,40,2300,-10
1100,0,1800,50,2300,0
1100,0,1800,60,2300,-10
1200,0,1800,10,2300,0
1200,0,1800,20,2300,0
1200,0,1800,30,2300,-10
1200,0,1800,40,2300,10
1200,0,1800,50,2300,-10
1200,0,1800,60,2300,10
1300,0,1800,10,2600,0
1300,0,1800,20,2600,0
1300,0,1800,30,2600,10
1300,0,1800,40,2300,0
1300,0,1800,50,2600,0
1300,0,1800,60,2300,10
1400,0,1800,10,2600,10
1400,0,1800,20,2600,0
1400,0,1800,30,2600,0
1400,0,1800,40,2600,-10
1400,0,1800,50,2600,10
1400,0,1800,60,2600,-10
1500,0,1800,10,2600,0
1500,0,1800,20,2600,10
1500,0,1800,30,2600,0
1500,0,1800,40,2600,-10
1500,0,1800,50,2600,0
1500,0,1800,60,2600,-10
1600,0,1800,10,2900,0
1600,0,1800,20,2600,-10
1600,0,1800,30,2600,10
1600,0,1800,40,2600,0
1600,0,1800,50,2600,10
1600,0,1800,60,2600,10
1700,0,1800,10,2900,-10
1700,0,1800,20,2900,10
1700,0,1800,30,2900,0
1700,0,1800,40,2900,-10
1700,0,1800,50,2900,10
1700,0,1800,60,2900,10
1800,0,1800,10,2900,10
1800,0,1800,20,2900,0
1800,0,1800,30,2900,10
1800,0,1800,40,2900,0
1800,0,1800,50,2900,0
1800,0,1800,60,2900,-10
0,1,1800,10,1100,0
0,1,1800,20,1100,10
0,1,1800,30,1100,-10
0,1,1800,40,1100,-10
0,1,1800,50,1100,0
0,1,1800,60,1100,-10
100,1,1800,10,1400,-10
100,1,1800,20,1100,-10
100,1,1800,30,1400,-10
100,1,1800,40,1100,-10
100,1,1800,50,1100,0
100,1,1800,60,1100,-10
200,1,1800,10,1400,10
200,1,1800,20,1400,10
200,1,1800,30,1400,10
200,1,1800,40,1400,10
200,1,1800,50,1400,-10
200,1,1800,60,1400,-10
300,1,1800,10,1400,-10
300,1,1800,20,1400,-10
300,1,1800,30,1400,10
300,1,1800,40,1400,10
300,1,1800,50,1400,0
300,1,1800,60,1400,0
400,1,1800,10,1700,10
400,1,1800,20,1400,0
400,1,1800,30,1400,-10
400,1,1800,40,1700,0
400,1,1800,50,1400,0
400,1,1800,60,1700,10
