Queue Size,Token Possession,Buffer Size,Threshold,Delta Buffer,Delta Threshold
0,0,0,10,3000,0
0,0,0,20,3000,10
0,0,0,30,3000,0
0,0,0,40,3000,-10
0,0,0,50,3000,0
0,0,0,60,3000,10
0,1,0,10,3000,0
0,1,0,20,3000,-10
0,1,0,30,3000,0
0,1,0,40,3000,10
0,1,0,50,3000,10
0,1,0,60,3000,0
0,0,300,10,2700,10
0,0,300,20,2700,0
0,0,300,30,2700,10
0,0,300,40,2700,10
0,0,300,50,2700,-10
0,0,300,60,2700,10
100,0,300,10,2700,0
100,0,300,20,2700,-10
100,0,300,30,2700,0
100,0,300,40,2700,0
100,0,300,50,2700,10
100,0,300,60,2700,-10
200,0,300,10,2700,-10
200,0,300,20,3000,10
200,0,300,30,3000,10
200,0,300,40,3000,0
200,0,300,50,2700,0
200,0,300,60,2700,0
300,0,300,10,3000,0
300,0,300,20,3000,-10
300,0,300,30,3000,10
300,0,300,40,3000,10
300,0,300,50,3000,10
300,0,300,60,3000,0
0,1,300,10,2700,0
0,1,300,20,2700,0
0,1,300,30,2700,-10
0,1,300,40,2700,0
0,1,300,50,2700,10
0,1,300,60,2700,10
100,1,300,10,2700,-10
100,1,300,20,2700,-10
100,1,300,30,2700,0
100,1,300,40,2700,-10
100,1,300,50,2700,10
100,1,300,60,2700,0
200,1,300,10,3000,-10
200,1,300,20,3000,0
200,1,300,30,3000,-10
200,1,300,40,3000,0
200,1,300,50,3000,-10
200,1,300,60,2700,10
300,1,300,10,3000,0
300,1,300,20,3000,-10
300,1,300,30,3000,-10
300,1,300,40,3000,10
300,1,300,50,3000,-10
300,1,300,60,3000,-10
0,0,600,10,2400,10
0,0,600,20,2400,0
0,0,600,30,2400,-10
0,0,600,40,2400,-10
0,0,600,50,2400,10
0,0,600,60,2400,10
100,0,600,10,2400,10
100,0,600,20,2400,-10
100,0,600,30,2400,-10
100,0,600,40,2400,10
100,0,600,50,2400,10
100,0,600,60,2400,0
200,0,600,10,2700,0
200,0,600,20,2400,0
200,0,600,30,2400,0
200,0,600,40,2400,10
200,0,600,50,2700,10
200,0,600,60,2700,10
300,0,600,10,2700,0
300,0,600,20,2700,10
300,0,600,30,2700,10
300,0,600,40,2700,0
300,0,600,50,2700,0
300,0,600,60,2700,10
400,0,600,10,2700,-10
400,0,600,20,2700,10
400,0,600,30,2700,-10
400,0,600,40,2700,-10
400,0,600,50,2700,10
400,0,600,60,2700,0
500,0,600,10,2700,-10
500,0,600,20,3000,10
500,0,600,30,3000,-10
500,0,600,40,2700,-10
500,0,600,50,2700,0
500,0,600,60,2700,-10
600,0,600,10,3000,-10
600,0,600,20,3000,10
600,0,600,30,3000,-10
600,0,600,40,3000,10
600,0,600,50,3000,10
600,0,600,60,3000,-10
0,1,600,10,2400,0
0,1,600,20,2400,0
0,1,600,30,2400,-10
0,1,600,40,2400,10
0,1,600,50,2400,0
0,1,600,60,2400,0
100,1,600,10,2400,-10
100,1,600,20,2400,-10
100,1,600,30,2400,10
100,1,600,40,2400,-10
100,1,600,50,2400,-10
100,1,600,60,2400,10
200,1,600,10,2400,0
200,1,600,20,2400,0
200,1,600,30,2400,0
200,1,600,40,2700,10
200,1,600,50,2400,0
200,1,600,60,2700,0
300,1,600,10,2700,10
300,1,600,20,2700,-10
300,1,600,30,2700,-10
300,1,600,40,2700,-10
300,1,600,50,2700,10
300,1,600,60,2700,-10
400,1,600,10,2700,0
400,1,600,20,2700,10
400,1,600,30,2700,0
400,1,600,40,2700,0
400,1,600,50,2700,0
400,1,600,60,2700,0
500,1,600,10,2700,0
500,1,600,20,3000,0
500,1,600,30,2700,0
500,1,600,40,3000,0
500,1,600,50,2700,0
500,1,600,60,3000,10
600,1,600,10,3000,10
600,1,600,20,3000,10
600,1,600,30,3000,10
600,1,600,40,3000,-10
600,1,600,50,3000,-10
600,1,600,60,3000,0
0,0,900,10,2100,0
0,0,900,20,2100,0
0,0,900,30,2100,0
0,0,900,40,2100,10
0,0,900,50,2100,10
0,0,900,60,2100,0
100,0,900,10,2100,10
100,0,900,20,2100,-10
100,0,900,30,2100,10
100,0,900,40,2100,10
100,0,900,50,2100,-10
100,0,900,60,2100,10
200,0,900,10,2400,0
200,0,900,20,2400,10
200,0,900,30,2100,10
200,0,900,40,2400,0
200,0,900,50,2100,10
200,0,900,60,2400,0
300,0,900,10,2400,10
300,0,900,20,2400,-10
300,0,900,30,2400,-10
300,0,900,40,2400,-10
300,0,900,50,2400,0
300,0,900,60,2400,-10
400,0,900,10,2400,0
400,0,900,20,2400,-10
400,0,900,30,2400,-10
400,0,900,40,2400,-10
400,0,900,50,2400,-10
400,0,900,60,2400,0
500,0,900,10,2700,0
500,0,900,20,2400,-10
500,0,900,30,2700,0
500,0,900,40,2700,-10
500,0,900,50,2400,-10
500,0,900,60,2400,10
600,0,900,10,2700,0
600,0,900,20,2700,0
600,0,900,30,2700,-10
600,0,900,40,2700,10
600,0,900,50,2700,0
600,0,900,60,2700,-10
700,0,900,10,2700,-10
700,0,900,20,2700,-10
700,0,900,30,2700,0
700,0,900,40,2700,-10
700,0,900,50,2700,-10
700,0,900,60,2700,0
800,0,900,10,2700,0
800,0,900,20,3000,-10
800,0,900,30,2700,10
800,0,900,40,3000,-10
800,0,900,50,3000,10
800,0,900,60,3000,0
900,0,900,10,3000,10
900,0,900,20,3000,-10
900,0,900,30,3000,0
900,0,900,40,3000,10
900,0,900,50,3000,10
900,0,900,60,3000,10
0,1,900,10,2100,-10
0,1,900,20,2100,-10
0,1,900,30,2100,10
0,1,900,40,2100,-10
0,1,900,50,2100,10
0,1,900,60,2100,-10
100,1,900,10,2100,-10
100,1,900,20,2100,0
100,1,900,30,2100,-10
100,1,900,40,2100,10
100,1,900,50,2100,10
100,1,900,60,2100,-10
200,1,900,10,2100,10
200,1,900,20,2400,0
200,1,900,30,2400,-10
200,1,900,40,2100,0
200,1,900,50,2400,-10
200,1,900,60,2100,0
300,1,900,10,2400,-10
300,1,900,20,2400,0
300,1,900,30,2400,-10
300,1,900,40,2400,10
300,1,900,50,2400,10
300,1,900,60,2400,-10
400,1,900,10,2400,10
400,1,900,20,2400,10
400,1,900,30,2400,-10
400,1,900,40,2400,0
400,1,900,50,2400,-10
400,1,900,60,2400,-10
500,1,900,10,2700,10
500,1,900,20,2700,10
500,1,900,30,2400,10
500,1,900,40,2400,-10
500,1,900,50,2700,10
500,1,900,60,2400,-10
600,1,900,10,2700,10
600,1,900,20,2700,-10
600,1,900,30,2700,0
600,1,900,40,2700,10
600,1,900,50,2700,10
600,1,900,60,2700,-10
700,1,900,10,2700,10
700,1,900,20,2700,10
700,1,900,30,2700,-10
700,1,900,40,2700,10
700,1,900,50,2700,10
700,1,900,60,2700,0
800,1,900,10,2700,10
800,1,900,20,3000,0
800,1,900,30,2700,-10
800,1,900,40,3000,10
800,1,900,50,3000,0
800,1,900,60,3000,10
900,1,900,10,3000,10
900,1,900,20,3000,-10
900,1,900,30,3000,0
900,1,900,40,3000,0
900,1,900,50,3000,10
900,1,900,60,3000,0
0,0,1200,10,1800,10
0,0,1200,20,1800,0
0,0,1200,30,1800,0
0,0,1200,40,1800,0
0,0,1200,50,1800,-10
0,0,1200,60,1800,10
100,0,1200,10,1800,10
100,0,1200,20,1800,0
100,0,1200,30,1800,-10
100,0,1200,40,1800,10
100,0,1200,50,1800,10
100,0,1200,60,1800,-10
200,0,1200,10,2100,0
200,0,1200,20,1800,0
200,0,1200,30,1800,0
200,0,1200,40,1800,10
200,0,1200,50,1800,-10
200,0,1200,60,1800,-10
300,0,1200,10,2100,0
300,0,1200,20,2100,-10
300,0,1200,30,2100,10
300,0,1200,40,2100,0
300,0,1200,50,2100,0
300,0,1200,60,2100,10
400,0,1200,10,2100,0
400,0,1200,20,2100,10
400,0,1200,30,2100,0
400,0,1200,40,2100,-10
400,0,1200,50,2100,0
400,0,1200,60,2100,10
500,0,1200,10,2400,10
500,0,1200,20,2100,-10
500,0,1200,30,2400,-10
500,0,1200,40,2100,0
500,0,1200,50,2100,10
500,0,1200,60,2100,0
600,0,1200,10,2400,-10
600,0,1200,20,2400,10
600,0,1200,30,2400,10
600,0,1200,40,2400,-10
600,0,1200,50,2400,10
600,0,1200,60,2400,0
700,0,1200,10,2400,10
700,0,1200,20,2400,-10
700,0,1200,30,2400,-10
700,0,1200,40,2400,0
700,0,1200,50,2400,-10
700,0,1200,60,2400,-10
800,0,1200,10,2700,0
800,0,1200,20,2700,-10
800,0,1200,30,2400,10
800,0,1200,40,2700,10
800,0,1200,50,2400,10
800,0,1200,60,2700,0
900,0,1200,10,2700,10
900,0,1200,20,2700,0
900,0,1200,30,2700,0
900,0,1200,40,2700,-10
900,0,1200,50,2700,10
900,0,1200,60,2700,-10
1000,0,1200,10,2700,0
1000,0,1200,20,2700,-10
1000,0,1200,30,2700,10
1000,0,1200,40,2700,10
1000,0,1200,50,2700,-10
1000,0,1200,60,2700,0
1100,0,1200,10,3000,-10
1100,0,1200,20,3000,10
1100,0,1200,30,3000,-10
1100,0,1200,40,3000,0
1100,0,1200,50,2700,-10
1100,0,1200,60,3000,-10
1200,0,1200,10,3000,10
1200,0,1200,20,3000,0
1200,0,1200,30,3000,-10
1200,0,1200,40,3000,10
1200,0,1200,50,3000,-10
1200,0,1200,60,3000,10
0,1,1200,10,1800,10
0,1,1200,20,1800,10
0,1,1200,30,1800,0
0,1,1200,40,1800,0
0,1,1200,50,1800,0
0,1,1200,60,1800,10
100,1,1200,10,1800,-10
100,1,1200,20,1800,10
100,1,1200,30,1800,10
100,1,1200,40,1800,-10
100,1,1200,50,1800,-10
100,1,1200,60,1800,-10
200,1,1200,10,1800,10
200,1,1200,20,1800,0
200,1,1200,30,1800,-10
200,1,1200,40,2100,-10
200,1,1200,50,2100,0
200,1,1200,60,1800,10
300,1,1200,10,2100,-10
300,1,1200,20,2100,-10
300,1,1200,30,2100,0
300,1,1200,40,2100,0
300,1,1200,50,2100,-10
300,1,1200,60,2100,-10
400,1,1200,10,2100,10
400,1,1200,20,2100,10
400,1,1200,30,2100,10
400,1,1200,40,2100,-10
400,1,1200,50,2100,10
400,1,1200,60,2100,10
500,1,1200,10,2100,0
500,1,1200,20,2400,-10
